year,Q_I,Q_II,Q_III,Q_IV,Q_V,Q_VI,Q_VII,Q_VIII,Q_IX,Q_X,Q_XI,Q_XII,naryn_t_I,naryn_t_II,naryn_t_III,naryn_t_IV,naryn_t_V,naryn_t_VI,naryn_t_VII,naryn_t_VIII,naryn_t_IX,naryn_t_X,naryn_t_XI,naryn_t_XII,naryn_p_I,naryn_p_II,naryn_p_III,naryn_p_IV,naryn_p_V,naryn_p_VI,naryn_p_VII,naryn_p_VIII,naryn_p_IX,naryn_p_X,naryn_p_XI,naryn_p_XII,ts_t_I,ts_t_II,ts_t_III,ts_t_IV,ts_t_V,ts_t_VI,ts_t_VII,ts_t_VIII,ts_t_IX,ts_t_X,ts_t_XI,ts_t_XII,ts_p_I,ts_p_II,ts_p_III,ts_p_IV,ts_p_V,ts_p_VI,ts_p_VII,ts_p_VIII,ts_p_IX,ts_p_X,ts_p_XI,ts_p_XII
1930,,,,,,,,,,,,,-22.5,-13.7,-6.5,4.9,11.5,14.6,18.7,16.7,11.0,4.3,-1.3,-12.5,5.4,18.0,3.1,46.6,28.1,31.4,14.6,20.5,35.8,3.2,8.3,13.5,-23.3,-17.5,-11.9,-7.5,-0.9,2.8,5.1,3.3,-0.7,-6.8,-11.2,-17.8,5.5,3.3,6.3,14.4,30.2,45.8,83.3,46.6,38.2,4.1,13.5,8.2
1931,,,,47.2,73.6,218.0,209.0,192.0,108.0,,,,-16.4,-18.5,-6.5,7.7,9.7,13.3,15.0,16.6,14.1,6.3,-4.8,-13.6,28.0,13.0,18.0,29.0,60.0,55.0,54.0,30.0,0.0,16.0,7.0,7.0,-18.9,-22.0,-12.7,-5.0,-2.4,2.6,4.0,3.9,1.1,-5.5,-12.7,-16.1,7.6,2.2,8.4,19.6,43.7,31.6,106.6,61.5,18.0,10.3,3.1,4.1
1932,,,,,,,271.0,155.0,69.6,42.7,34.9,29.4,-15.1,-17.3,-1.9,8.7,10.6,14.4,18.4,14.7,12.0,3.8,-4.4,-15.5,19.0,4.0,9.0,33.0,42.0,34.0,50.0,37.0,15.0,21.0,6.0,10.0,-19.1,-21.3,-10.9,-5.2,-2.4,1.1,5.3,1.9,-0.8,-8.1,-12.6,-21.4,13.1,2.2,8.4,52.5,33.3,56.7,94.4,71.0,27.6,7.2,4.2,6.2
1933,26.4,27.5,28.3,54.2,135.0,195.0,243.0,289.0,131.0,50.2,38.0,35.2,-21.1,-14.1,-6.7,6.8,12.1,14.4,17.8,19.0,13.0,4.5,-3.5,-11.7,7.0,21.0,22.0,14.0,45.0,62.0,40.0,11.0,10.0,,10.0,23.0,-24.3,-19.3,-13.3,-7.2,-0.3,2.7,4.1,5.8,-0.1,-9.6,-14.4,-16.6,7.6,4.4,8.4,24.7,49.9,43.6,64.4,37.1,17.0,19.6,6.2,14.4
1934,30.4,27.7,26.1,46.2,168.0,397.0,228.0,209.0,94.0,49.1,37.0,32.3,-25.8,-14.8,-10.0,3.9,8.6,14.2,14.7,14.7,8.8,3.7,-4.3,-9.8,9.0,23.0,11.0,37.0,103.0,40.0,44.0,41.0,17.0,6.0,14.0,11.0,-26.8,-18.6,-15.7,-7.7,-3.1,2.1,2.9,2.3,-2.1,-8.4,-17.6,-18.3,5.5,10.9,10.5,20.6,47.8,99.2,82.1,71.0,18.0,8.2,6.2,3.1
1935,30.7,26.6,30.2,40.1,113.0,191.0,245.0,278.0,87.7,46.7,37.4,31.6,-19.8,-14.3,-3.6,4.3,10.3,14.2,16.9,18.1,10.5,5.3,-6.2,-20.2,8.0,7.0,29.0,16.0,49.0,39.0,24.0,1.0,30.0,14.0,35.0,31.0,-23.0,-17.9,-11.7,-10.5,-2.9,1.4,3.6,5.0,-2.0,-7.9,-17.1,-24.3,1.1,6.5,11.6,26.8,43.7,95.9,62.2,41.3,43.5,16.5,6.2,10.3
1936,,,,72.3,178.0,230.0,210.0,132.0,86.1,47.4,37.6,32.9,-25.7,-15.0,-10.6,4.6,10.0,14.4,16.6,15.4,13.6,7.2,-3.7,-12.9,1.0,19.0,9.0,28.0,72.0,63.0,29.0,23.0,8.0,10.0,1.0,6.0,-26.3,-19.1,-15.8,-8.2,-0.8,1.4,3.8,3.1,0.0,-5.2,-15.4,-23.2,0.1,2.2,5.3,10.3,41.6,62.1,41.1,26.5,22.3,8.2,2.1,8.2
1937,24.0,24.9,26.7,29.6,71.0,145.0,174.0,113.0,57.6,35.0,24.9,14.2,-18.4,-11.4,-5.4,4.8,11.2,13.4,16.5,16.3,12.4,5.2,-9.8,-13.3,24.0,7.0,12.0,32.0,111.0,57.0,18.0,27.0,24.0,8.0,10.0,8.0,-23.1,-18.1,-15.8,-7.4,-0.9,1.3,4.1,2.6,-0.6,-7.2,-18.5,-19.9,10.9,4.4,3.2,12.4,60.3,39.2,48.8,72.1,31.8,15.8,4.2,0.4
1938,10.2,19.1,20.1,37.6,91.1,54.4,,,50.7,34.8,26.3,19.6,-15.9,-12.4,-8.1,6.1,13.9,13.6,17.5,16.8,12.7,5.4,-2.4,-10.9,15.0,5.0,23.0,4.0,40.0,37.0,16.0,22.0,10.0,,1.0,7.0,-21.5,-20.3,-15.6,-4.7,0.8,0.7,3.6,2.9,-1.5,-7.3,-16.0,-19.5,5.5,4.4,10.5,18.5,47.8,24.0,105.5,60.4,24.4,11.3,7.3,7.2
1939,19.1,18.6,18.2,21.1,133.0,88.4,198.0,185.0,71.7,38.3,30.9,23.7,-17.0,-15.1,-7.6,9.1,13.2,14.1,19.0,18.7,13.5,6.2,-2.8,-7.7,14.0,10.0,20.0,32.0,24.0,31.0,44.0,0.0,10.0,4.0,11.0,2.0,-21.5,-18.8,-15.0,-11.0,-0.7,1.2,4.6,4.3,-1.0,-5.3,-15.0,-18.4,4.4,3.3,13.7,13.4,37.4,58.9,96.6,44.5,47.7,12.4,9.4,4.1
